2529	5668	1
720	611	1
4380	2109	1
5358	5085	1
4104	5085	1
3330	4668	1
4994	2770	1
3172	3657	1
2669	1421	1
2669	3389	1
2669	3657	1
2669	3390	1
4012	2433	1
734	1303	1
587	1092	1
2021	3597	1
4149	5841	1
4315	4217	1
1700	5617	1
985	5193	1
198	4377	1
3538	4377	1
3049	4377	1
4377	4377	1
5622	4377	1
5955	98	1
1838	1479	1
5500	2708	1
3586	2093	1
3586	2882	1
1548	5509	1
3949	347	1
5288	347	1
6767	4351	1
4104	4952	1
2225	4952	1
4599	4699	1
4990	5380	1
3018	5380	1
5817	384	1
3631	775	1
6767	679	1
6109	2459	1
5530	5808	1
2045	97	1
4538	4239	1
2936	4758	1
2166	3698	1
2449	2166	1
5931	3698	1
697	3698	1
2975	3698	1
3502	1972	1
1456	1255	1
1456	5734	1
387	4914	1
387	2543	1
349	2899	1
2069	2899	1
4859	2899	1
576	2899	1
3398	2899	1
4671	3037	1
4321	4683	1
118	4909	1
1246	155	1
1246	1246	1
3543	720	1
4910	4657	1
677	4671	1
1095	1893	1
3133	4305	1
1137	1136	1
1136	3583	1
254	5644	1
522	1800	1
1661	376	1
2451	1255	1
3709	4260	1
522	1812	1
4370	4898	1
182	4463	1
2209	4652	1
4652	4652	1
4652	4416	1
996	4514	1
4426	2350	1
2757	5414	1
5414	2719	1
4024	561	1
5028	16	1
4104	2400	1
1669	2010	1
4092	2010	1
1700	2224	1
5820	5234	1
325	4783	1
5820	591	1
2762	6107	1
6107	3922	1
6107	3922	1
5798	5798	1
5798	4189	1
6008	5525	1
1318	1961	1
2757	2719	1
1162	2757	1
2757	2555	1
2608	3597	1
952	1424	1
678	1096	1
1972	3813	1
1203	6142	1
395	6142	1
3836	103	1
6067	4189	1
4290	3274	1
5354	5459	1
2502	2399	1
2502	269	1
437	376	1
2366	1046	1
3598	1174	1
1288	6374	1
4163	6767	1
4163	6767	1
4163	6787	1
3161	2584	1
3161	3234	1
5627	2216	1
1162	1555	1
6061	6532	1
6767	2405	1
6445	6767	1
6767	4799	1
6767	4363	1
6614	5762	1
6247	1907	1
