I#ID	Name
G363	S100A3
G364	CHTOP
G365	INTS3
G366	SLC27A3
G367	GATAD2B
G368	RPS27
G369	TPM3
G370	HAX1
G371	IL6R
G372	CHRNB2
G373	ADAR
G374	KCNN3
G375	PMVK
G376	SHC1
G377	FLAD1
G378	DCST1
G379	ADAM15
G380	EFNA4
G381	DPM3
G382	THBS3
G383	PKLR
G384	FDPS
G385	RIT1
G386	LAMTOR2
G387	LMNA
G388	SEMA4A
G389	BGLAP
G390	NAXE
G391	BCAN
G392	NES
G393	PRCC
G394	SH2D2A
G395	NTRK1
G396	FCRL5
G397	FCRL3
G398	OR10K2
G399	SPTA1
G400	OR6K2
G401	OR6K3
G402	PYHIN1
G403	IFI16
G404	CADM3
G405	ACKR1
G406	CRP
G407	KCNJ10
G408	PIGM
G409	IGSF8
G410	ATP1A2
G411	CASQ1
G412	DCAF8
G413	PEX19
G414	COPA
G415	NCSTN
G416	VANGL2
G417	CD244
G418	USF1
G419	NECTIN4
G420	PPOX
G421	B4GALT3
G422	NDUFS2
G423	FCER1G
G424	APOA2
G425	NR1I3
G426	MPZ
G427	SDHC
G428	FCGR2A
G429	FCGR3A
G430	FCGR2C
G431	FCGR3B
G432	FCGR2B
G433	ATF6
G434	OLFML2B
G435	NOS1AP
G436	UHMK1
G437	DDR2
G438	RGS4
G439	RGS5
G440	PBX1
G441	RXRG
G442	ALDH9A1
G443	TMCO1
G444	CD247
G445	ADCY10
G446	DCAF6
G447	GPR161
G448	TBX19
G449	ATP1B1
G450	NME7
G451	SLC19A2
G452	F5
G453	SELP
G454	SELL
G455	SELE
G456	KIFAP3
G457	GORAB
G458	PRRX1
G459	FMO3
G460	MYOC
G461	PIGC
G462	FASLG
G463	TNFSF4
G464	KLHL20
G465	DARS2
G466	SERPINC1
G467	CACYBP
G468	TNR
G469	PAPPA2
G470	RASAL2
G471	ABL2
G472	SOAT1
G473	AXDND1
G474	NPHS2
G475	TDRD5
G476	TOR1AIP2
G477	TOR1AIP1
G478	LHX4
G479	XPR1
G480	MR1
G481	CACNA1E
G482	GLUL
G483	RNASEL
G484	NPL
G485	DHX9
G486	SHCBP1L
G487	LAMC1
G488	LAMC2
G489	SMG7
G490	NCF2
G491	TSEN15
G492	NIBAN1
G493	HMCN1
G494	PRG4
G495	TPR
G496	PDC
G497	PTGS2
G498	PLA2G4A
G499	RGS2
G500	GLRX2
G501	CDC73
G502	B3GALT2
G503	CFH
G504	CFHR4
G505	CFHR2
G506	CFHR5
G507	F13B
G508	ASPM
G509	CRB1
G510	PTPRC
G511	NR5A2
G512	KIF14
G513	DDX59
G514	KIF21B
G515	CACNA1S
G516	PKP1
G517	TNNT2
G518	TNNI1
G519	NAV1
G520	UBE2T
G521	SYT2
G522	KDM5B
G523	ADIPOR1
G524	TMEM183A
G525	ADORA1
G526	CHI3L1
G527	CHIT1
G528	BTG2
G529	OPTC
G530	ATP2B4
G531	SNRPE
G532	REN
G533	KISS1
G534	PPP1R15B
G535	MDM4
G536	NFASC
G537	CNTN2
G538	DSTYK
G539	ELK4
G540	NUCKS1
G541	CTSE
G542	SRGAP2
G543	RASSF5
G544	MAPKAPK2
G545	IL10
G546	IL24
G547	PIGR
G548	C4BPB
G549	C4BPA
G550	CD55
G551	CR2
G552	CR1
G553	CD46
G554	LAMB3
G555	HSD11B1
G556	TRAF3IP3
G557	IRF6
G558	SYT14
G559	KCNH1
G560	RD3
G561	NEK2
G562	ATF3
G563	FLVCR1
G564	PTPN14
G565	CENPF
G566	KCTD3
G567	USH2A
G568	ESRRG
G569	GPATCH2
G570	TGFB2
G571	SLC30A10
G572	IARS2
G573	RAB3GAP2
G574	DISP1
G575	TLR5
G576	TP53BP2
G577	NVL
G578	WDR26
G579	DNAH14
G580	LBR
G581	ENAH
G582	EPHX1
G583	PYCR2
G584	LEFTY2
G585	H3-3A
G586	ACBD3
G587	PSEN2
G588	COQ8A
G589	GJC2
G590	IBA57
G591	OBSCN
G592	ACTA1
G593	NUP133
G594	URB2
G595	GALNT2
G596	AGT
G597	ARV1
G598	GNPAT
G599	EXOC8
G600	SPRTN
G601	EGLN1
G602	DISC1
G603	PCNX2
G604	COA6
G605	ARID4B
G606	TBCE
G607	B3GALNT2
G608	LYST
G609	NID1
G610	EDARADD
G611	ACTN2
G612	MTR
G613	RYR2
G614	ZP4
G615	CHRM3
G616	FMN2
G617	GREM2
G618	FH
G619	EXO1
G620	CEP170
G621	SDCCAG8
G622	AKT3
G623	ZBTB18
G624	CATSPERE
G625	COX20
G626	HNRNPU
G627	EFCAB2
G628	KIF26B
G629	ZNF124
G630	NLRP3
G631	OR14A16
G632	OR2W3
G633	OR2T1
G634	TUBB8
G635	ZMYND11
G636	PFKP
G637	PITRM1
G638	KLF6
G639	AKR1C2
G640	AKR1C3
G641	AKR1C4
G642	NET1
G643	TASOR2
G644	FBH1
G645	IL2RA
G646	ITIH5
G647	GATA3
G648	UPF2
G649	DHTKD1
G650	OPTN
G651	PHYH
G652	FRMD4A
G653	DCLRE1C
G654	ITGA8
G655	CUBN
G656	VIM
G657	ST8SIA6
G658	HACD1
G659	MRC1
G660	CACNB2
G661	NEBL
G662	MLLT10
G663	PTF1A
G664	MYO3A
G665	PDSS1
G666	ABI1
G667	ANKRD26
G668	YME1L1
G669	MASTL
G670	ACBD5
G671	RAB18
G672	MKX
G673	WAC
G674	SVIL
G675	JCAD
G676	MTPAP
G677	MAP3K8
G678	ZEB1
G679	ITGB1
G680	NRP1
G681	PARD3
G682	CREM
G683	FZD8
G684	ANKRD30A
G685	DUX4
G686	BMS1
G687	RET
G688	CXCL12
G689	TMEM72
G690	ALOX5
G691	TIMM23
G692	NCOA4
G693	MSMB
G694	GDF10
G695	GDF2
G696	RBP3
G697	MAPK8
G698	ARHGAP22
G699	ERCC6
G700	CHAT
G701	SLC18A3
G702	OGDHL
G703	A1CF
G704	PRKG1
G705	MBL2
G706	PCDH15
G707	ZWINT
G708	TFAM
G709	BICC1
G710	FAM13C
G711	CCDC6
G712	ANK3
G713	CDK1
G714	ARID5B
G715	ZNF365
G716	EGR2
G717	JMJD1C
G718	CTNNA3
G719	SIRT1
G720	MYPN
G721	ATOH7
G722	DNA2
G723	SLC25A16
G724	STOX1
G725	DDX50
G726	KIFBP
G727	HKDC1
G728	HK1
G729	NEUROG3
G730	COL13A1
G731	NODAL
G732	PRF1
G733	ADAMTS14
G734	PCBD1
G735	SLC29A3
G736	CDH23
G737	PSAP
G738	CHST3
G739	ASCC1
G740	MICU1
G741	OIT3
G742	MRPS16
G743	MYOZ1
G744	NDST2
G745	CAMK2G
G746	PLAU
G747	VCL
G748	ADK
G749	KAT6B
G750	LRMDA
G751	KCNMA1
G752	DLG5
G753	POLR3A
G754	RPS24
G755	ZMIZ1
G756	SFTPA2
G757	SFTPA1
G758	SFTPD
G759	MAT1A
G760	NRG3
G761	CDHR1
G762	RGR
G763	GRID1
G764	LDB3
G765	BMPR1A
G766	MMRN2
G767	SNCG
G768	GLUD1
G769	MINPP1
G770	PAPSS2
G771	KLLN
G772	PTEN
G773	LIPN
G774	ACTA2
G775	FAS
G776	LIPA
G777	SLC16A12
G778	PANK1
G779	HTR7
G780	ANKRD1
G781	PPP1R3C
G782	IDE
G783	KIF11
G784	CYP26C1
G785	CYP26A1
G786	FFAR4
G787	RBP4
G788	PDE6C
G789	FRA10AC1
G790	LGI1
G791	SLC35G1
G792	PLCE1
G793	HELLS
G794	CYP2C18
G795	CYP2C19
G796	CYP2C9
G797	CYP2C8
G798	SORBS1
G799	ALDH18A1
G800	TCTN3
G801	ENTPD1
G802	ZNF518A
G803	BLNK
G804	LCOR
G805	ANKRD2
G806	HOGA1
G807	ZFYVE27
G808	CRTAC1
G809	HPS1
G810	HPSE2
G811	CNNM1
G812	GOT1
G813	NKX2-3
G814	ENTPD7
G815	COX15
G816	ABCC2
G817	CPN1
G818	ERLIN1
G819	CHUK
G820	CWF19L1
G821	PKD2L1
G822	PAX2
G823	MRPL43
G824	TWNK
G825	PDZD7
G826	TLX1
G827	LBX1
G828	BTRC
G829	DPCD
G830	POLL
G831	FBXW4
G832	FGF8
G833	KCNIP2
G834	HPS6
G835	PPRC1
G836	PITX3
G837	NFKB2
G838	ACTR1A
G839	SUFU
G840	TRIM8
G841	CYP17A1
G842	CNNM2
G843	NT5C2
G844	INA
G845	CALHM1
G846	COL17A1
G847	CFAP43
G848	GSTO1
G849	GSTO2
G850	SORCS1
G851	ADD3
G852	MXI1
G853	SMNDC1
G854	SMC3
G855	RBM20
G856	BBIP1
G857	SHOC2
G858	ADRA2A
G859	TCF7L2
G860	HABP2
G861	ADRB1
G862	ABLIM1
G863	GFRA1
G864	PNLIP
G865	VAX1
G866	KCNK18
G867	EMX2
G868	NANOS1
G869	SFXN4
G870	TIAL1
G871	BAG3
G872	INPP5F
G873	WDR11
G874	FGFR2
G875	TACC2
G876	BTBD16
G877	PLEKHA1
G878	ARMS2
G879	HTRA1
G880	DMBT1
G881	IKZF5
G882	ACADSB
G883	BUB3
G884	GPR26
G885	CPXM2
G886	CHST15
G887	OAT
G888	MMP21
G889	UROS
G890	BCCIP
G891	ADAM12
G892	DOCK1
G893	PTPRE
G894	MKI67
G895	MGMT
G896	EBF3
G897	GLRX3
G898	ADGRA1
G899	KNDC1
G900	ECHS1
G901	CYP2E1
G902	SYCE1
G903	NLRP6
G904	IFITM5
G905	IFITM3
G906	ANO9
G907	HRAS
G908	IRF7
G909	DRD4
G910	DEAF1
G911	EPS8L2
G912	TALDO1
G913	SLC25A22
G914	PNPLA2
G915	CD151
G916	MUC6
G917	MUC2
G918	MUC5B
G919	CTSD
G920	SYT8
G921	TNNI2
G922	LSP1
G923	TNNT3
G924	H19
G925	IGF2
G926	INS-IGF2
G927	INS
G928	TH
G929	CD81
G930	KCNQ1
G931	KCNQ1OT1
G932	CDKN1C
G933	SLC22A18
G934	PHLDA2
G935	OSBPL5
G936	ZNF195
G937	PGAP2
G938	STIM1
G939	RRM1
G940	OR52A1
G941	HBB
G942	HBD
G943	HBBP1
G944	BGLT3
G945	HBG1
G946	HBG2
G947	HBE1
G948	OR51AB1P
G949	TRIM5
G950	CCKBR
G951	SMPD1
G952	APBB1
G953	ILK
G954	TPP1
G955	DCHS1
G956	NLRP14
G957	NLRP10
G958	TUB
G959	RIC3
G960	LMO1
G961	DENND2B
G962	AKIP1
G963	DENND5A
G964	SBF2
G965	AMPD3
G966	CTR9
G967	MICAL2
G968	TEAD1
G969	PTH
G970	FAR1
G971	RRAS2
G972	CYP2R1
G973	CALCA
G974	SOX6
G975	KCNJ11
G976	ABCC8
G977	USH1C
G978	OTOG
G979	KCNC1
G980	TPH1
G981	SAA1
G982	HPS5
G983	LDHA
G984	LDHC
G985	TSG101
G986	CSRP3
G987	NAV2
G988	SLC6A5
G989	NELL1
G990	ANO5
G991	FANCF
G992	LUZP2
G993	ANO3
G994	LGR4
G995	BDNF
G996	KCNA4
G997	FSHB
G998	ARL14EP
G999	ELP4
G1000	PAX6
G1001	WT1
G1002	CD59
G1003	NAT10
G1004	CAT
G1005	ELF5
G1006	EHF
G1007	PDHX
G1008	CD44
G1009	SLC1A2
G1010	TRIM44
G1011	RAG1
G1012	RAG2
G1013	IFTAP
G1014	API5
G1015	EXT2
G1016	ALX4
G1017	CD82
G1018	CHST1
G1019	SLC35C1
G1020	MAPK8IP1
G1021	PEX16
G1022	CREB3L1
G1023	DGKZ
G1024	ATG13
G1025	ZNF408
